Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.040453 s; user: 0.040453 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.015565 s; user: 0.015568 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.016476 s; user: 0.016477 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.071768 s; user: 0.071761 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.040048 s; user: 0.040051 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.043523 s; user: 0.043526 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.207006 s; user: 0.207010 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.149880 s; user: 0.149883 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.160449 s; user: 0.160452 s
