Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.041861 s; user: 0.041791 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.020191 s; user: 0.020192 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.021666 s; user: 0.021669 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.089516 s; user: 0.089396 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.058747 s; user: 0.058682 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.063500 s; user: 0.063503 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.294833 s; user: 0.294526 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.225772 s; user: 0.225524 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.243775 s; user: 0.243521 s
