Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.309440 s; user: 5.309413 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.896204 s; user: 1.896200 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.880050 s; user: 1.880038 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 7.213272 s; user: 7.213215 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.702382 s; user: 3.702396 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.789260 s; user: 3.789227 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 14.519684 s; user: 14.519672 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 10.369234 s; user: 10.369225 s
Testing UnsaturatedSolinas 2^512-569 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 23; s := 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096; c := [(1, 569)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 10.502019 s; user: 10.501948 s
