Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.035455 s; user: 0.035435 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.014040 s; user: 0.014041 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.015259 s; user: 0.015261 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.064986 s; user: 0.064989 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.039514 s; user: 0.039514 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.043385 s; user: 0.043372 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.200898 s; user: 0.200902 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.148309 s; user: 0.148304 s
Testing UnsaturatedSolinas 2^174-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.160110 s; user: 0.160113 s
