Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.035133 s; user: 0.035080 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.014419 s; user: 0.014406 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.015403 s; user: 0.015405 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.065953 s; user: 0.065955 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.040675 s; user: 0.040676 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.043084 s; user: 0.043086 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.199692 s; user: 0.199688 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.149718 s; user: 0.149721 s
Testing UnsaturatedSolinas 2^174-17 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 23945242826029513411849172299223580994042798784118784; c := [(1, 17)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.159565 s; user: 0.159567 s
