Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.061839 s; user: 0.061807 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.028707 s; user: 0.028709 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.030525 s; user: 0.030528 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.132440 s; user: 0.132442 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.087977 s; user: 0.087981 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.094081 s; user: 0.094072 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.430581 s; user: 0.430586 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.337230 s; user: 0.337234 s
Testing UnsaturatedSolinas 2^150-5 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 1427247692705959881058285969449495136382746624; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.359131 s; user: 0.359123 s
