Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.773021 s; user: 3.773005 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.393970 s; user: 1.393970 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.408139 s; user: 1.408131 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.359947 s; user: 5.359943 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.842259 s; user: 2.842250 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.885196 s; user: 2.885194 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 11.150967 s; user: 11.151003 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 8.126902 s; user: 8.126850 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 8.198013 s; user: 8.198032 s
