Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.018678 s; user: 0.018649 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.007962 s; user: 0.007964 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.008751 s; user: 0.008754 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.035434 s; user: 0.035437 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.023029 s; user: 0.023030 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.023702 s; user: 0.023705 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.111162 s; user: 0.111164 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.082726 s; user: 0.082729 s
Testing UnsaturatedSolinas 2^130-5 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 1361129467683753853853498429727072845824; c := [(1, 5)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.089111 s; user: 0.089102 s
