Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.099458 s; user: 0.099290 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.037461 s; user: 0.037398 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.040182 s; user: 0.039503 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.171219 s; user: 0.170937 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.097784 s; user: 0.097615 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.102266 s; user: 0.102207 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.473287 s; user: 0.472865 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.349441 s; user: 0.349028 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 6; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.370503 s; user: 0.369967 s
