Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.490299 s; user: 0.490298 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.166141 s; user: 0.166144 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.172982 s; user: 0.172983 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.697358 s; user: 0.697354 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.338738 s; user: 0.338742 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.338950 s; user: 0.338954 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.429020 s; user: 1.429014 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.947144 s; user: 0.947136 s
Testing UnsaturatedSolinas 2^488-17 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285056; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.990136 s; user: 0.990127 s
