Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.020809 s; user: 0.020688 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.009004 s; user: 0.008915 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.009531 s; user: 0.009534 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.039368 s; user: 0.039370 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.026113 s; user: 0.026115 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.027220 s; user: 0.027221 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.127304 s; user: 0.127306 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.095400 s; user: 0.095402 s
Testing UnsaturatedSolinas 2^127-1 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 170141183460469231731687303715884105728; c := [(1, 1)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.093406 s; user: 0.093409 s
