Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.190158 s; user: 0.190161 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.080980 s; user: 0.080983 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.083645 s; user: 0.083647 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.370089 s; user: 0.370031 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.237864 s; user: 0.237857 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.253498 s; user: 0.253472 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.117100 s; user: 1.116916 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.866145 s; user: 0.866107 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.911577 s; user: 0.911574 s
