Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.032408 s; user: 0.032336 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.012985 s; user: 0.012987 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.013862 s; user: 0.013864 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.060581 s; user: 0.060584 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.037139 s; user: 0.037141 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.041584 s; user: 0.041587 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.197814 s; user: 0.197809 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.145576 s; user: 0.145579 s
Testing UnsaturatedSolinas 2^129-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 680564733841876926926749214863536422912; c := [(1, 25)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.156132 s; user: 0.156129 s
