Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.270765 s; user: 3.270753 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.165076 s; user: 1.165069 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.200127 s; user: 1.200127 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.650558 s; user: 4.650560 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.420208 s; user: 2.420213 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.488574 s; user: 2.488576 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 9.685198 s; user: 9.685248 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 6.977763 s; user: 6.977781 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 20; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 7.082145 s; user: 7.082172 s
