Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.151262 s; user: 0.151265 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.062484 s; user: 0.062485 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.066782 s; user: 0.066784 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.290360 s; user: 0.290365 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.181090 s; user: 0.181083 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.192765 s; user: 0.192768 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.859593 s; user: 0.859562 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.658004 s; user: 0.658004 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.691025 s; user: 0.690992 s
