Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.180341 s; user: 0.180344 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.079067 s; user: 0.079070 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.082465 s; user: 0.082458 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.365141 s; user: 0.365146 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.235724 s; user: 0.235727 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.249970 s; user: 0.249974 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.109633 s; user: 1.109624 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.860166 s; user: 0.860091 s
Testing UnsaturatedSolinas 2^206-5 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 9; s := 102844034832575377634685573909834406561420991602098741459288064; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.901901 s; user: 0.901899 s
