Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.087165 s; user: 0.087166 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.052832 s; user: 0.052834 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.053769 s; user: 0.053772 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.191744 s; user: 0.191740 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.139453 s; user: 0.139456 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.142184 s; user: 0.142188 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.614099 s; user: 0.614096 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.488070 s; user: 0.488076 s
Testing UnsaturatedSolinas 2^256-4294968273 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 7; s := 115792089237316195423570985008687907853269984665640564039457584007913129639936; c := [(1, 4294968273)]; idxs := [0, 1, 2, 3, 4, 5, 6, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.515131 s; user: 0.515125 s
