Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.066997 s; user: 0.066992 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.025473 s; user: 0.025476 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.027485 s; user: 0.027488 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.116792 s; user: 0.116794 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.065943 s; user: 0.065945 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.071740 s; user: 0.071743 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.326592 s; user: 0.326598 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.234311 s; user: 0.234303 s
Testing UnsaturatedSolinas 2^255-765 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 5; s := 57896044618658097711785492504343953926634992332820282019728792003956564819968; c := [(1, 765)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.250731 s; user: 0.250734 s
