Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.328256 s; user: 3.328246 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.195148 s; user: 1.195148 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.204535 s; user: 1.204526 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 4.563388 s; user: 4.563129 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.330383 s; user: 2.330236 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.353543 s; user: 2.353527 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 9.076940 s; user: 9.076811 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 6.392122 s; user: 6.392128 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 19; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 6.469189 s; user: 6.469195 s
