Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.032038 s; user: 0.032038 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.013677 s; user: 0.013678 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.014490 s; user: 0.014491 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.061518 s; user: 0.061521 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.037817 s; user: 0.037820 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.043554 s; user: 0.043544 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.196868 s; user: 0.196861 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.146493 s; user: 0.146486 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.157210 s; user: 0.157212 s
