Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.019755 s; user: 0.019736 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.009027 s; user: 0.009029 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.008900 s; user: 0.008902 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.037035 s; user: 0.037036 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022741 s; user: 0.022743 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.024884 s; user: 0.024885 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.115067 s; user: 0.115061 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.086330 s; user: 0.086332 s
Testing UnsaturatedSolinas 2^141-9 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 3; s := 2787593149816327892691964784081045188247552; c := [(1, 9)]; idxs := [0, 1, 2, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.092141 s; user: 0.092144 s
