Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.815048 s; user: 3.815021 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.361471 s; user: 1.361471 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.399218 s; user: 1.399198 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.188388 s; user: 5.188344 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.684656 s; user: 2.684632 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.688762 s; user: 2.688734 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 10.399280 s; user: 10.399196 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 7.371086 s; user: 7.371015 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 20; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 7.372476 s; user: 7.372418 s
