Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.053786 s; user: 0.053737 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022344 s; user: 0.022345 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.023528 s; user: 0.023531 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.102545 s; user: 0.102537 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.061226 s; user: 0.061228 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.067230 s; user: 0.067233 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.310078 s; user: 0.310082 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.233561 s; user: 0.233564 s
Testing UnsaturatedSolinas 2^194-33 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 25108406941546723055343157692830665664409421777856138051584; c := [(1, 33)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.249015 s; user: 0.249019 s
