Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.032463 s; user: 0.032353 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.013328 s; user: 0.013329 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.015104 s; user: 0.015106 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.062331 s; user: 0.062332 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.038770 s; user: 0.038643 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.044147 s; user: 0.044148 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.193401 s; user: 0.193338 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.144792 s; user: 0.144794 s
Testing UnsaturatedSolinas 2^150-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 1427247692705959881058285969449495136382746624; c := [(1, 3)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.156502 s; user: 0.155216 s
