Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.192049 s; user: 0.192043 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.080898 s; user: 0.080900 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.087855 s; user: 0.087853 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.377765 s; user: 0.377769 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.238071 s; user: 0.238075 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.251292 s; user: 0.251287 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.112669 s; user: 1.112643 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.867769 s; user: 0.867768 s
Testing UnsaturatedSolinas 2^222-117 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 6739986666787659948666753771754907668409286105635143120275902562304; c := [(1, 117)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.904585 s; user: 0.904556 s
