Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.327689 s; user: 1.327649 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.511307 s; user: 0.511303 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.524204 s; user: 0.524198 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.145156 s; user: 2.145143 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.223360 s; user: 1.223356 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.253063 s; user: 1.253064 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.114238 s; user: 5.114187 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.856035 s; user: 3.855997 s
Testing UnsaturatedSolinas 2^382-105 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 16; s := 9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704; c := [(1, 105)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.935225 s; user: 3.935180 s
