Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.583737 s; user: 1.583686 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.614819 s; user: 0.614825 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.615812 s; user: 0.615772 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.517162 s; user: 2.517106 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.429729 s; user: 1.429685 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.463956 s; user: 1.463955 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.855064 s; user: 5.854909 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 4.400456 s; user: 4.399815 s
Testing UnsaturatedSolinas 2^401-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 17; s := 5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 4.459645 s; user: 4.459523 s
