Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.296463 s; user: 5.295888 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.908136 s; user: 1.908098 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.928852 s; user: 1.928819 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 7.320426 s; user: 7.320306 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 3.782731 s; user: 3.782686 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 3.861259 s; user: 3.861216 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 14.805485 s; user: 14.805285 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 10.622216 s; user: 10.622060 s
Testing UnsaturatedSolinas 2^511-481 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 23; s := 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048; c := [(1, 481)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 10.647685 s; user: 10.647544 s
