Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.059312 s; user: 0.059313 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.023599 s; user: 0.023601 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.025967 s; user: 0.025968 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.112183 s; user: 0.112186 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.063950 s; user: 0.063952 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.069387 s; user: 0.069389 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.314519 s; user: 0.314516 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.236885 s; user: 0.236889 s
Testing UnsaturatedSolinas 2^221-3 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 3369993333393829974333376885877453834204643052817571560137951281152; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.248917 s; user: 0.248921 s
