Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.246614 s; user: 0.246616 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.109549 s; user: 0.109551 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.113385 s; user: 0.113387 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.482356 s; user: 0.482351 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.308457 s; user: 0.308452 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.328324 s; user: 0.328328 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.424214 s; user: 1.424205 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.111157 s; user: 1.111158 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.154206 s; user: 1.154201 s
