Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.491984 s; user: 0.491978 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.163053 s; user: 0.163049 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.168967 s; user: 0.168970 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.681718 s; user: 0.681715 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.324926 s; user: 0.324930 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.335335 s; user: 0.335328 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.406489 s; user: 1.406478 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.945042 s; user: 0.945042 s
Testing UnsaturatedSolinas 2^489-21 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 9; s := 1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570112; c := [(1, 21)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.977948 s; user: 0.977942 s
