Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.803680 s; user: 0.803676 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.321368 s; user: 0.321371 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.331207 s; user: 0.331205 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.371990 s; user: 1.371993 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.804655 s; user: 0.804649 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.829920 s; user: 0.829919 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.423376 s; user: 3.423397 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.576545 s; user: 2.576551 s
Testing UnsaturatedSolinas 2^338-15 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 14; s := 559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944; c := [(1, 15)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.667227 s; user: 2.667225 s
