Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.632568 s; user: 2.632508 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.966781 s; user: 0.966779 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.014038 s; user: 1.014040 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.872051 s; user: 3.872016 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.051875 s; user: 2.051877 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.109895 s; user: 2.109867 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 8.242990 s; user: 8.242734 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 6.000120 s; user: 6.000029 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 19; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 6.098050 s; user: 6.098029 s
