Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.145787 s; user: 0.145788 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.061848 s; user: 0.061849 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.064008 s; user: 0.064010 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.285763 s; user: 0.285767 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.174836 s; user: 0.174829 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.201168 s; user: 0.191074 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.860019 s; user: 0.849299 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.652614 s; user: 0.652614 s
Testing UnsaturatedSolinas 2^213-3 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 8; s := 13164036458569648337239753460458804039861886925068638906788872192; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.681945 s; user: 0.681935 s
