Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.039222 s; user: 0.039222 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.015265 s; user: 0.015267 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.016596 s; user: 0.016597 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.070081 s; user: 0.070083 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.038989 s; user: 0.038992 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.043568 s; user: 0.043570 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.201078 s; user: 0.201071 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.145178 s; user: 0.145181 s
Testing UnsaturatedSolinas 2^230-27 (bitwidth = 64 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 4; s := 1725436586697640946858688965569256363112777243042596638790631055949824; c := [(1, 27)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.155833 s; user: 0.155836 s
