Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.641951 s; user: 0.641947 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.221365 s; user: 0.221369 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.224695 s; user: 0.224698 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.869409 s; user: 0.869401 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.422628 s; user: 0.422633 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.437098 s; user: 0.437095 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.761133 s; user: 1.761133 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.179835 s; user: 1.179823 s
Testing UnsaturatedSolinas 2^521-1 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 10; s := 6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152; c := [(1, 1)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 1.229461 s; user: 1.229462 s
