Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.579814 s; user: 0.579371 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.236905 s; user: 0.236489 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.244068 s; user: 0.243879 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.052112 s; user: 1.051002 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.637054 s; user: 0.636378 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.670685 s; user: 0.669984 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.830284 s; user: 2.827214 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.173199 s; user: 2.170837 s
Testing UnsaturatedSolinas 2^291-19 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 13; s := 3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448; c := [(1, 19)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.215766 s; user: 2.213414 s
