Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.667522 s; user: 0.667268 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.262935 s; user: 0.262939 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.272114 s; user: 0.272101 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.122441 s; user: 1.122406 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.648711 s; user: 0.648717 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.684767 s; user: 0.684763 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.856263 s; user: 2.856138 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.158423 s; user: 2.158379 s
Testing UnsaturatedSolinas 2^336-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.204661 s; user: 2.204614 s
