Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.066643 s; user: 0.066644 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.030552 s; user: 0.030555 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.033280 s; user: 0.033283 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.142006 s; user: 0.142009 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.090808 s; user: 0.090812 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.095195 s; user: 0.095199 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.442840 s; user: 0.442835 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.344182 s; user: 0.344188 s
Testing UnsaturatedSolinas 2^152-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 6; s := 5708990770823839524233143877797980545530986496; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.361206 s; user: 0.361202 s
