Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.053507 s; user: 0.053423 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.022072 s; user: 0.022074 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.023711 s; user: 0.023714 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.104638 s; user: 0.104641 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.060496 s; user: 0.060498 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.066904 s; user: 0.066907 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.307501 s; user: 0.307498 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.232940 s; user: 0.232944 s
Testing UnsaturatedSolinas 2^189-25 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 784637716923335095479473677900958302012794430558004314112; c := [(1, 25)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.247450 s; user: 0.247454 s
