Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.641237 s; user: 0.640592 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.252613 s; user: 0.252355 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.261815 s; user: 0.261441 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.111313 s; user: 1.110099 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.647643 s; user: 0.647040 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.686247 s; user: 0.685466 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.853323 s; user: 2.850139 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.212372 s; user: 2.210034 s
Testing UnsaturatedSolinas 2^321-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 13; s := 4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.276588 s; user: 2.274066 s
