Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.184980 s; user: 2.184942 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.814444 s; user: 0.814440 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.831162 s; user: 0.831156 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.242471 s; user: 3.242335 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.759181 s; user: 1.759132 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.809944 s; user: 1.809853 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 7.093639 s; user: 7.086524 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 5.002880 s; user: 5.002742 s
Testing UnsaturatedSolinas 2^452-3 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496; c := [(1, 3)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 5.159216 s; user: 5.159153 s
