Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.287445 s; user: 2.287414 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.840516 s; user: 0.840489 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.848943 s; user: 0.848943 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.274598 s; user: 3.274521 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.761754 s; user: 1.761733 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.824565 s; user: 1.824224 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 7.234149 s; user: 7.233888 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 5.332127 s; user: 5.332022 s
Testing UnsaturatedSolinas 2^468-17 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 18; s := 762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856; c := [(1, 17)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 5.416090 s; user: 5.415991 s
