Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 3.781765 s; user: 3.781677 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.343164 s; user: 1.343117 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.407143 s; user: 1.407100 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 5.396639 s; user: 5.396517 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 2.787687 s; user: 2.787613 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 2.872280 s; user: 2.872230 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 11.112019 s; user: 11.111742 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 7.947225 s; user: 7.947043 s
Testing UnsaturatedSolinas 2^495-31 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 21; s := 102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487168; c := [(1, 31)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 7.992588 s; user: 7.992409 s
