Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.811612 s; user: 1.811600 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.705881 s; user: 0.705865 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.709512 s; user: 0.709485 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 2.879546 s; user: 2.879540 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.652022 s; user: 1.651990 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.700712 s; user: 1.700699 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 6.834348 s; user: 6.834274 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 5.181664 s; user: 5.181608 s
Testing UnsaturatedSolinas 2^383-421 (bitwidth = 32 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 18; s := 19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408; c := [(1, 421)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 5.268778 s; user: 5.268251 s
