Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.062990 s; user: 0.062991 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.025026 s; user: 0.025028 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.026509 s; user: 0.026511 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.115645 s; user: 0.115647 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.063396 s; user: 0.063388 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.067081 s; user: 0.067084 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.318903 s; user: 0.318908 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.233767 s; user: 0.233771 s
Testing UnsaturatedSolinas 2^226-5 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 5; s := 107839786668602559178668060348078522694548577690162289924414440996864; c := [(1, 5)]; idxs := [0, 1, 2, 3, 4, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.247965 s; user: 0.247968 s
