Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.034920 s; user: 0.034842 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.013839 s; user: 0.013768 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = precomputed_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.014780 s; user: 0.014783 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.064904 s; user: 0.064901 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.039069 s; user: 0.039071 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_decision_tree ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.042418 s; user: 0.042421 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.194026 s; user: 0.194029 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.145941 s; user: 0.145943 s
Testing UnsaturatedSolinas 2^171-19 (bitwidth = 64 ) (index = 1 ) (method = unreduced_naive ) (params = {| n := 4; s := 2993155353253689176481146537402947624255349848014848; c := [(1, 19)]; idxs := [0, 1, 2, 3, 0, 1]; machine_wordsize := 64|} ) PipelineFlatArithOf with extraction OCaml: real: 0.157006 s; user: 0.156985 s
