Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.274612 s; user: 0.274290 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.110704 s; user: 0.110538 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = precomputed_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.119493 s; user: 0.119363 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 0.511263 s; user: 0.510749 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 0.315850 s; user: 0.315590 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_decision_tree ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 0.335063 s; user: 0.334570 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFullToStringsOf with extraction OCaml: real: 1.464847 s; user: 1.463378 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatNBEOf with extraction OCaml: real: 1.129159 s; user: 1.127884 s
Testing UnsaturatedSolinas 2^251-9 (bitwidth = 32 ) (index = 0 ) (method = unreduced_naive ) (params = {| n := 10; s := 3618502788666131106986593281521497120414687020801267626233049500247285301248; c := [(1, 9)]; idxs := [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 1]; machine_wordsize := 32|} ) PipelineFlatArithOf with extraction OCaml: real: 1.169225 s; user: 1.167919 s
