prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
2993155353253689176481146537402947624255349848014829,0.046423,0.107799,0.410097,6.573,0.151,3.24,WordByWordMontgomery x64
23945242826029513411849172299223580994042798784118767,0.042830,0.130780,0.472534,7.694,0.123,2.786,UnsaturatedSolinas x32 (0)
23945242826029513411849172299223580994042798784118767,0.008974,0.023074,0.086007,1.405,0.021,0.514,UnsaturatedSolinas x64 (0)
23945242826029513411849172299223580994042798784118767,0.558166,1.322425,5.073742,72.863,1.583,33.468,WordByWordMontgomery x32
23945242826029513411849172299223580994042798784118767,0.045350,0.110620,0.412420,6.429,0.179,3.219,WordByWordMontgomery x64
23945242826029513411849172299223580994042798784118781,0.041222,0.123420,0.470850,7.624,0.123,2.87,UnsaturatedSolinas x32 (0)
23945242826029513411849172299223580994042798784118781,0.008751,0.023274,0.086513,1.454,0.021,0.516,UnsaturatedSolinas x64 (0)
23945242826029513411849172299223580994042798784118781,0.541109,1.288979,4.957253,73.105,1.6,33.051,WordByWordMontgomery x32
23945242826029513411849172299223580994042798784118781,0.046850,0.111335,0.415643,6.572,0.171,3.491,WordByWordMontgomery x64
784637716923335095479473677900958302012794430558004314087,0.059438,0.174703,0.649312,10.562,0.192,4.394,UnsaturatedSolinas x32 (0)
784637716923335095479473677900958302012794430558004314087,0.014719,0.040944,0.146274,2.455,0.042,1.016,UnsaturatedSolinas x64 (0)
784637716923335095479473677900958302012794430558004314087,0.506776,1.203389,4.662065,72.817,1.575,32.501,WordByWordMontgomery x32
784637716923335095479473677900958302012794430558004314087,0.047150,0.113877,0.418851,6.562,0.178,3.241,WordByWordMontgomery x64
1569275433846670190958947355801916604025588861116008628213,0.060615,0.183909,0.654364,10.799,0.195,4.444,UnsaturatedSolinas x32 (0)
1569275433846670190958947355801916604025588861116008628213,0.014735,0.038647,0.162543,2.444,0.042,1.021,UnsaturatedSolinas x64 (0)
1569275433846670190958947355801916604025588861116008628213,0.555004,1.334935,5.078881,70.895,1.591,32.652,WordByWordMontgomery x32
1569275433846670190958947355801916604025588861116008628213,0.046368,0.108491,0.413543,6.553,0.17,3.248,WordByWordMontgomery x64
3138550867693340381917894711603833208051177722232017256429,0.059052,0.190556,0.640669,10.615,0.196,4.531,UnsaturatedSolinas x32 (0)
3138550867693340381917894711603833208051177722232017256429,0.014459,0.039055,0.154766,2.464,0.043,1.041,UnsaturatedSolinas x64 (0)
3138550867693340381917894711603833208051177722232017256429,0.550587,1.287359,4.978251,71.775,1.573,32.069,WordByWordMontgomery x32
3138550867693340381917894711603833208051177722232017256429,0.047247,0.109575,0.415525,6.461,0.183,3.232,WordByWordMontgomery x64
6277101735386680763835789423207666416083908700390324961279,0.099484,0.308913,1.107819,18.071,0.343,8.592,UnsaturatedSolinas x32 (0)
6277101735386680763835789423207666416083908700390324961279,0.019589,0.052909,0.205426,3.544,0.058,1.37,UnsaturatedSolinas x64 (0)
6277101735386680763835789423207666416083908700390324961279,0.516433,1.277774,4.862609,73.099,1.535,32.342,WordByWordMontgomery x32
6277101735386680763835789423207666416083908700390324961279,0.046892,0.109698,0.404634,6.625,0.153,3.292,WordByWordMontgomery x64
25108406941546723055343157692830665664409421777856138051551,0.058027,0.178234,0.642927,10.647,0.196,4.541,UnsaturatedSolinas x32 (0)
25108406941546723055343157692830665664409421777856138051551,0.014846,0.040522,0.148106,2.496,0.044,1.058,UnsaturatedSolinas x64 (0)
25108406941546723055343157692830665664409421777856138051551,1.038089,2.398690,9.320992,128.215,3.445,73.409,WordByWordMontgomery x32
25108406941546723055343157692830665664409421777856138051551,0.134915,0.310515,1.123736,17.364,0.659,14.342,WordByWordMontgomery x64
100433627766186892221372630771322662657637687111424552206321,0.060002,0.174583,0.654416,10.795,0.202,4.696,UnsaturatedSolinas x32 (0)
100433627766186892221372630771322662657637687111424552206321,0.014835,0.039634,0.147010,2.426,0.043,1.068,UnsaturatedSolinas x64 (0)
100433627766186892221372630771322662657637687111424552206321,1.021965,2.383980,9.404387,130.672,3.406,74.398,WordByWordMontgomery x32
100433627766186892221372630771322662657637687111424552206321,0.135649,0.306102,1.120143,17.585,0.652,14.407,WordByWordMontgomery x64
