prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,8.793129,18.058513,74.543812,103.179,36.155,920.644,WordByWordMontgomery x32
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.752756,1.512937,5.102053,75.49,5.091,123.241,WordByWordMontgomery x64
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.256867,0.659321,2.162442,33.983,1.699,45.871,UnsaturatedSolinas x32 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.046868,0.105769,0.350578,5.821,0.268,6.561,UnsaturatedSolinas x64 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,10.126665,22.092510,86.453841,103.208,35.753,937.954,WordByWordMontgomery x32
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.710400,1.417680,4.827218,75.933,5.091,122.938,WordByWordMontgomery x64
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.251147,0.628450,2.050098,33.838,1.696,41.869,UnsaturatedSolinas x32 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.043782,0.108222,0.345831,5.817,0.275,6.744,UnsaturatedSolinas x64 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,10.405846,22.248708,89.661501,103.286,36.202,908.342,WordByWordMontgomery x32
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.766495,1.494302,5.168063,75.664,5.091,124.417,WordByWordMontgomery x64
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.400589,0.974454,3.137371,50.455,2.851,79.575,UnsaturatedSolinas x32 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.067287,0.150896,0.495418,8.24,0.462,11.168,UnsaturatedSolinas x64 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,17.030737,35.438501,153.006517,,56.588,1505.168,WordByWordMontgomery x32
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.777055,1.516106,5.186685,75.228,5.078,124.276,WordByWordMontgomery x64
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.412544,0.988230,3.131840,50.577,2.993,75.761,UnsaturatedSolinas x32 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.076175,0.159373,0.499769,8.268,0.476,11.807,UnsaturatedSolinas x64 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,17.167584,36.243000,154.228816,,57.556,1494.693,WordByWordMontgomery x32
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.783771,1.479704,5.144445,75.882,4.931,121.779,WordByWordMontgomery x64
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.505716,1.174508,3.732503,59.702,3.516,90.527,UnsaturatedSolinas x32 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.070011,0.158159,0.492127,8.115,0.492,12.14,UnsaturatedSolinas x64 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,17.016191,36.294499,154.540239,,56.929,1570.514,WordByWordMontgomery x32
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.748385,1.470457,5.165579,76.856,5.086,123.129,WordByWordMontgomery x64
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.570073,1.393398,4.360992,69.593,4.186,105.817,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.070773,0.160304,0.503384,8.275,0.494,12.042,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,17.006231,35.960477,156.074927,,57.333,1539.974,WordByWordMontgomery x32
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.727217,1.415564,4.960215,76.117,5.073,137.156,WordByWordMontgomery x64
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.489990,1.173254,3.716057,58.086,3.609,90.536,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.069748,0.160697,0.504016,8.304,0.486,12.006,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,17.041710,36.643143,151.695626,,58.319,1508.558,WordByWordMontgomery x32
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.773808,1.518069,5.195381,75.519,5.072,124.054,WordByWordMontgomery x64
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.416458,1.004304,3.147418,50.605,3.054,86.194,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.067738,0.159015,0.500340,8.284,0.491,12.092,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,16.269371,36.961517,151.767880,,57.05,1488.482,WordByWordMontgomery x32
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.760379,1.538596,5.247555,76.145,5.075,123.312,WordByWordMontgomery x64
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,,,UnsaturatedSolinas x32 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,,,UnsaturatedSolinas x64 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,17.300717,36.951910,142.169126,,58.098,1501.245,WordByWordMontgomery x32
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,0.780374,1.489248,5.095220,76.916,4.96,122.448,WordByWordMontgomery x64
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,,,UnsaturatedSolinas x32 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,,,UnsaturatedSolinas x64 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,17.976470,33.169310,145.959178,,57.963,1497.071,WordByWordMontgomery x32
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,0.766064,1.500391,5.064228,73.859,5.056,123.647,WordByWordMontgomery x64
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,1.280870,2.971460,9.341055,147.687,8.284,214.553,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,0.230592,0.542777,1.758860,28.073,1.63,39.761,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,17.688535,37.340323,139.708161,,58.512,1486.241,WordByWordMontgomery x32
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,0.770269,1.517226,5.149352,78.066,4.922,124.497,WordByWordMontgomery x64
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.484078,1.144449,3.699368,59.949,3.595,90.561,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.066996,0.153347,0.496512,8.284,0.489,12.062,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,14.603050,29.870052,123.400464,,57.882,1553.582,WordByWordMontgomery x32
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.746329,1.502969,5.197394,75.406,5.067,122.066,WordByWordMontgomery x64
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,0.496598,1.193609,3.730585,58.112,3.734,94.947,UnsaturatedSolinas x32 (0)
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,0.071106,0.159178,0.503081,8.348,0.507,12.326,UnsaturatedSolinas x64 (0)
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,28.771666,58.470787,244.447621,,87.932,2286.273,WordByWordMontgomery x32
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,1.490293,2.827400,8.993208,136.113,11.397,274.504,WordByWordMontgomery x64
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,0.510782,1.225791,3.773165,58.709,3.912,97.379,UnsaturatedSolinas x32 (0)
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,0.073254,0.159302,0.497644,8.337,0.53,13.081,UnsaturatedSolinas x64 (0)
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,28.361676,59.358252,241.930327,,87.696,2297.439,WordByWordMontgomery x32
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,1.501722,2.830031,9.779003,135.367,11.483,276.335,WordByWordMontgomery x64
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,0.618280,1.390368,4.224392,70.573,4.823,119.888,UnsaturatedSolinas x32 (0)
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,0.100656,0.226906,0.681533,11.275,0.763,19.196,UnsaturatedSolinas x64 (0)
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,28.346634,59.826325,239.630831,,89.642,2308.594,WordByWordMontgomery x32
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,1.764272,3.110703,9.789114,135.663,11.485,275.99,WordByWordMontgomery x64
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,0.530506,1.233709,3.738422,59.847,4.153,102.129,UnsaturatedSolinas x32 (0)
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,0.100189,0.217769,0.680282,11.002,0.78,19.089,UnsaturatedSolinas x64 (0)
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,28.577557,59.779850,243.715165,,89.371,2548.284,WordByWordMontgomery x32
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,1.488244,2.712707,9.065962,137.463,11.598,272.393,WordByWordMontgomery x64
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,0.716009,1.552413,4.841598,77.067,5.561,144.953,UnsaturatedSolinas x32 (0)
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,0.138339,0.304770,0.926933,15.09,1.095,27.207,UnsaturatedSolinas x64 (0)
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,29.435980,60.230078,240.139905,,88.869,2317.049,WordByWordMontgomery x32
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,1.755972,3.030572,9.898085,136.284,11.498,285.14,WordByWordMontgomery x64
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,0.767594,1.715777,5.194749,83.707,6.285,156.323,UnsaturatedSolinas x32 (0)
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,0.111327,0.233064,0.692374,11.41,0.891,21.681,UnsaturatedSolinas x64 (0)
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,48.580397,95.453494,391.811047,,133.608,,WordByWordMontgomery x32
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,1.734629,2.957370,9.749448,137.667,11.425,277.526,WordByWordMontgomery x64
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,1.056388,2.240529,6.597512,105.965,8.792,246.445,UnsaturatedSolinas x32 (0)
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,0.149776,0.308186,0.915146,15.167,1.273,31.249,UnsaturatedSolinas x64 (0)
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,47.613574,93.920044,390.649227,,133.937,,WordByWordMontgomery x32
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,1.699712,2.988545,9.944090,135.146,11.536,278.914,WordByWordMontgomery x64
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,1.041940,2.237285,6.582136,102.498,8.759,,UnsaturatedSolinas x32 (0)
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,0.156330,0.308503,0.938542,15.045,1.292,31.783,UnsaturatedSolinas x64 (0)
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,78.664665,148.391527,597.820130,,194.321,,WordByWordMontgomery x32
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,3.831960,6.167842,18.354004,229.805,23.509,,WordByWordMontgomery x64
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,0.680058,1.496212,4.483714,67.157,5.725,145.675,UnsaturatedSolinas x32 (0)
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,0.109390,0.224512,0.678111,11.404,0.908,22.532,UnsaturatedSolinas x64 (0)
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,77.105897,145.178176,622.503365,,192.251,,WordByWordMontgomery x32
11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834493,3.077382,5.308330,16.344603,229.109,23.381,571.544,WordByWordMontgomery x64
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,0.828206,1.786886,5.197694,83.087,7.035,178.013,UnsaturatedSolinas x32 (0)
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,0.120820,0.242506,0.720916,11.5,0.992,24.169,UnsaturatedSolinas x64 (0)
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,60.212135,117.056642,476.454416,,193.926,,WordByWordMontgomery x32
762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529839,3.849933,6.516064,18.517271,224.784,23.345,569.635,WordByWordMontgomery x64
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,1.162517,2.337752,6.696834,106.224,9.962,256.307,UnsaturatedSolinas x32 (0)
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,0.165400,0.314823,0.951080,15.407,1.432,35.443,UnsaturatedSolinas x64 (0)
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,78.181998,146.944068,604.315565,,196.359,,WordByWordMontgomery x32
3121748550315992231381597229793166305748598142664971150859156959625371737052918555341921773480194470416908415293922726019829017557682084013670399,3.846365,6.394881,18.234092,230.268,23.608,571.838,WordByWordMontgomery x64
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,1.033829,2.151524,6.120236,96.64,8.646,234.635,UnsaturatedSolinas x32 (0)
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,0.168869,0.326349,0.937383,14.911,1.384,34.333,UnsaturatedSolinas x64 (0)
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,125.238626,232.822650,954.366880,,280.355,,WordByWordMontgomery x32
799167628880894011233688890827050574271641124522232614619944181664095165137859998750798362384253944616915694367080095461234681773897801038410285039,3.822205,6.267092,18.196557,224.692,23.507,565.255,WordByWordMontgomery x64
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,1.165076,2.420208,6.977763,109.768,10.146,254.595,UnsaturatedSolinas x32 (0)
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,0.162685,0.326233,0.901579,15.24,1.411,34.517,UnsaturatedSolinas x64 (0)
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,96.535247,226.729820,945.577199,,274.763,,WordByWordMontgomery x32
1598335257761788022467377781654101148543282249044465229239888363328190330275719997501596724768507889233831388734160190922469363547795602076820570091,3.837241,6.346763,18.197840,226.275,23.636,562.346,WordByWordMontgomery x64
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,1.196009,2.498265,7.015105,105.787,10.303,261.624,UnsaturatedSolinas x32 (0)
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,0.162250,0.326916,0.925272,15.206,1.439,35.647,UnsaturatedSolinas x64 (0)
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,96.802749,199.478425,856.626474,,279.925,,WordByWordMontgomery x32
102293456496754433437912178025862473506770063938845774671352855253004181137646079840102190385184504910965208878986252219038039267058918532916516487137,3.825510,6.221486,16.273140,232.7,23.091,567.527,WordByWordMontgomery x64
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,,,,,,,UnsaturatedSolinas x32 (0)
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,,,,,,,UnsaturatedSolinas x64 (0)
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,121.100559,235.237228,956.732720,,275.493,,WordByWordMontgomery x32
3292621777717531703499517186296461297235914818063567795121505704883698582458552017893209304118318844074148143396809486426396407928092469737516832688963583,3.818446,6.423440,18.399083,216.693,23.571,567.509,WordByWordMontgomery x64
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,1.684696,3.406772,9.251461,145.161,14.041,357.793,UnsaturatedSolinas x32 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,0.238949,0.451712,1.228756,19.238,1.973,48.212,UnsaturatedSolinas x64 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,124.588841,231.064045,944.149316,,280.073,,WordByWordMontgomery x32
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041567,3.770980,6.228836,17.639695,225.976,23.601,618.507,WordByWordMontgomery x64
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,1.690990,3.346001,9.251274,139.951,14.093,355.161,UnsaturatedSolinas x32 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,0.236811,0.451807,1.236277,19.52,1.966,48.08,UnsaturatedSolinas x64 (0)
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,98.012683,177.987553,916.153257,,279.71,,WordByWordMontgomery x32
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503041861,3.866484,6.354086,18.135263,232.21,23.496,567.864,WordByWordMontgomery x64
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,,,,,,,UnsaturatedSolinas x32 (0)
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,,,,,,,UnsaturatedSolinas x64 (0)
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,121.789587,232.460906,924.903494,,272.54,,WordByWordMontgomery x32
13307355755662784245937995239384449178495717617804446826996292939863313924196378526398893947208652243867464023067321551174658528251694711947109629815685119,3.795703,6.419338,18.633910,217.527,23.608,569.598,WordByWordMontgomery x64
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,1.896204,3.702382,10.369234,160.757,15.608,399.837,UnsaturatedSolinas x32 (0)
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,0.241160,0.451834,1.231790,19.618,1.949,48.52,UnsaturatedSolinas x64 (0)
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,124.867316,228.959131,949.313780,,277.328,,WordByWordMontgomery x32
13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006083527,3.756493,6.256293,17.839606,221.302,23.519,567.732,WordByWordMontgomery x64
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,1.165405,2.306637,6.256366,96.717,10.009,260.162,UnsaturatedSolinas x32 (0)
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,0.192753,0.358836,0.968768,15.354,1.603,38.526,UnsaturatedSolinas x64 (0)
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,193.616059,357.525489,,,385.048,,WordByWordMontgomery x32
6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,7.551764,11.847190,32.419414,370.091,43.742,1067.084,WordByWordMontgomery x64
