prime,"PipelineFlatNBEOf with extraction OCaml (real, s)","PipelineNBEOf with vm_compute (real, s)","GallinaAxOf with vm_compute (real, s)","GallinaAxOf with cbv (real, s)",extra info
784637716923335095479473677900958302012794430558004314087,0.425388,,1.412,31.377,WordByWordMontgomery x32 
784637716923335095479473677900958302012794430558004314087,0.035268,0.422,0.14,3.384,WordByWordMontgomery x64 
1569275433846670190958947355801916604025588861116008628213,0.044995,0.581,0.184,4.469,UnsaturatedSolinas x32 (0)
1569275433846670190958947355801916604025588861116008628213,0.010614,0.126,0.04,1.111,UnsaturatedSolinas x64 (0)
1569275433846670190958947355801916604025588861116008628213,0.417794,,1.423,32.95,WordByWordMontgomery x32 
1569275433846670190958947355801916604025588861116008628213,0.034602,0.442,0.14,3.176,WordByWordMontgomery x64 
3138550867693340381917894711603833208051177722232017256429,0.045895,0.574,0.186,4.487,UnsaturatedSolinas x32 (0)
3138550867693340381917894711603833208051177722232017256429,0.011452,0.135,0.043,1.088,UnsaturatedSolinas x64 (0)
3138550867693340381917894711603833208051177722232017256429,0.425606,,1.448,33.35,WordByWordMontgomery x32 
3138550867693340381917894711603833208051177722232017256429,0.041224,0.456,0.139,3.385,WordByWordMontgomery x64 
6277101735386680763835789423207666416083908700390324961279,,,,,UnsaturatedSolinas x32 (0)
6277101735386680763835789423207666416083908700390324961279,,,,,UnsaturatedSolinas x64 (0)
6277101735386680763835789423207666416083908700390324961279,0.412934,,,,WordByWordMontgomery x32 
6277101735386680763835789423207666416083908700390324961279,0.045749,,,,WordByWordMontgomery x64 
25108406941546723055343157692830665664409421777856138051551,0.048090,0.578,0.191,4.694,UnsaturatedSolinas x32 (0)
25108406941546723055343157692830665664409421777856138051551,0.011005,0.14,0.041,1.107,UnsaturatedSolinas x64 (0)
25108406941546723055343157692830665664409421777856138051551,0.815973,,3.127,76.051,WordByWordMontgomery x32 
25108406941546723055343157692830665664409421777856138051551,0.115557,1.387,0.57,14.006,WordByWordMontgomery x64 
100433627766186892221372630771322662657637687111424552206321,0.045751,0.583,0.196,5.064,UnsaturatedSolinas x32 (0)
100433627766186892221372630771322662657637687111424552206321,0.012812,0.144,0.042,1.141,UnsaturatedSolinas x64 (0)
100433627766186892221372630771322662657637687111424552206321,0.927199,,3.145,72.078,WordByWordMontgomery x32 
100433627766186892221372630771322662657637687111424552206321,0.109945,1.409,0.57,13.78,WordByWordMontgomery x64 
401734511064747568885490523085290650630550748445698208825327,0.046950,0.549,0.196,4.758,UnsaturatedSolinas x32 (0)
401734511064747568885490523085290650630550748445698208825327,0.011358,0.147,0.043,1.124,UnsaturatedSolinas x64 (0)
401734511064747568885490523085290650630550748445698208825327,0.833894,,3.157,72.115,WordByWordMontgomery x32 
401734511064747568885490523085290650630550748445698208825327,0.109301,1.378,0.57,14.572,WordByWordMontgomery x64 
33343964418374048217495713416079124002335712120992951332503551,,,,,UnsaturatedSolinas x32 (0)
