prime,"UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
55213970774324510299478046898216203619608871777363092441300193790394353,0.359,0.058,6.325,0.573,9.118,1.528,159.423,14.731,0.072699,0.019404,1.723897,0.118564,0.87,0.144,,1.341
14134776518227074636666380005943348126619871175004951664972849610340958199,0.373,0.099,6.281,0.62,9.245,2.597,156.42,14.666,0.072979,0.027379,1.623079,0.115237,0.877,0.229,,1.376
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.512,0.104,6.401,0.627,13.144,2.741,151.581,14.011,0.096691,0.028626,1.653062,0.115925,1.156,0.252,,1.357
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,,,,,,,1.772784,0.113788,,,,
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.662,0.106,6.363,0.616,16.108,2.662,151.32,13.977,0.118405,0.028878,1.716070,0.110083,1.475,0.237,,1.343
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.523,0.107,6.378,0.625,13.643,2.693,150.82,14.125,0.093320,0.033752,1.750401,0.116358,1.166,0.265,,1.355
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,,,,,,,1.525862,0.107285,,,,
115792089210356248762697446949407573530086143415290314195533631308867097853951,,,,,,,,,,,1.775833,0.112899,,,,
115792089237316195423570985008687907853269984665640564039457584007908834671663,,,,,,,,,,0.036779,1.671242,0.115821,,,,
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.666,0.108,6.38,0.614,16.266,2.739,150.743,14.168,0.113816,0.029157,1.708608,0.118414,1.397,0.242,,1.378
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.566,0.115,,1.826,15.071,2.993,,44.843,0.096764,0.026790,3.212079,0.304154,1.177,0.255,,
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.804,0.13,,1.832,20.651,3.304,,44.92,0.128145,0.021177,3.057923,0.300625,1.533,0.283,,
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,1.015,0.136,,1.826,26.549,3.627,,44.301,0.156367,0.021193,6.026150,0.297578,,0.287,,
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,1.479,0.268,,4.863,37.526,6.088,,117.654,0.215447,0.034703,9.707001,0.680703,,0.429,,
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,,,,,,,,,,,10.695855,0.688043,,,,
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,1.615,0.261,,4.731,43.916,7.048,,117.831,0.215894,0.036814,9.560427,0.688736,,0.481,,
