      After |    Peak Mem | File Name                                                                  |        Before |    Peak Mem ||         Change || Change (mem) | % Change | % Change (mem)
   0m03.39s |   733272 ko | Specific/montgomery64_2e171m19_3limbs/femulDisplay.log                     |      0m04.76s |   732900 ko ||      -0m01.36s ||       372 ko |  -28.78% |         +0.05%
   0m03.39s |   730788 ko | Specific/montgomery64_2e383m421_6limbs/fesubDisplay.log                    |      0m04.89s |   731404 ko ||      -0m01.49s ||      -616 ko |  -30.67% |         -0.08%
   0m03.38s |   732212 ko | Specific/solinas32_2e174m17_7limbs/femulDisplay.log                        |      0m05.17s |   732368 ko ||      -0m01.79s ||      -156 ko |  -34.62% |         -0.02%
   0m03.38s |   731444 ko | Specific/solinas64_2e192m2e64m1_5limbs/femulDisplay.log                    |      0m04.84s |   731004 ko ||      -0m01.46s ||       440 ko |  -30.16% |         +0.06%
   0m03.37s |   733268 ko | Specific/montgomery64_2e137m13_3limbs/femulDisplay.log                     |      0m05.02s |   732924 ko ||      -0m01.64s ||       344 ko |  -32.86% |         +0.04%
   0m03.37s |   730888 ko | Specific/montgomery64_2e383m187_6limbs/fesubDisplay.log                    |      0m04.85s |   731416 ko ||      -0m01.47s ||      -528 ko |  -30.51% |         -0.07%
   0m03.36s |   733048 ko | Specific/montgomery64_2e192m2e64m1_3limbs/femulDisplay.log                 |      0m04.71s |   732544 ko ||      -0m01.35s ||       504 ko |  -28.66% |         +0.06%
   0m03.36s |   730912 ko | Specific/montgomery64_2e384m2e128m2e96p2e32m1_6limbs/feaddDisplay.log      |      0m04.82s |   731436 ko ||      -0m01.46s ||      -524 ko |  -30.29% |         -0.07%
   0m03.36s |   733264 ko | Specific/montgomery64_2e512m491x2e496m1_8limbs/feoppDisplay.log            |      0m04.80s |   734176 ko ||      -0m01.43s ||      -912 ko |  -30.00% |         -0.12%
   0m03.35s |   730644 ko | Specific/montgomery64_2e321m9_6limbs/fesubDisplay.log                      |      0m04.96s |   731012 ko ||      -0m01.60s ||      -368 ko |  -32.45% |         -0.05%
   0m03.35s |   732112 ko | Specific/solinas64_2e379m19_7limbs/fesquareDisplay.log                     |      0m05.16s |   732420 ko ||      -0m01.81s ||      -308 ko |  -35.07% |         -0.04%
   0m03.34s |   730636 ko | Specific/montgomery64_2e379m19_6limbs/fesubDisplay.log                     |      0m04.84s |   731420 ko ||      -0m01.50s ||      -784 ko |  -30.99% |         -0.10%
   0m03.33s |   737280 ko | Specific/montgomery32_2e285m9_9limbs/feaddDisplay.log                      |      0m04.62s |   737236 ko ||      -0m01.29s ||        44 ko |  -27.92% |         +0.00%
   0m03.33s |   733676 ko | Specific/solinas64_2e322m2e161m1_6limbs/fesquareDisplay.log                |      0m04.79s |   733376 ko ||      -0m01.46s ||       300 ko |  -30.48% |         +0.04%
   0m03.31s |   732672 ko | Specific/solinas64_2e336m3_7limbs/femulDisplay.log                         |      0m04.66s |   732264 ko ||      -0m01.35s ||       408 ko |  -28.96% |         +0.05%
   0m03.31s |   733064 ko | Specific/solinas64_2e338m15_7limbs/fesquareDisplay.log                     |      0m05.01s |   732840 ko ||      -0m01.69s ||       224 ko |  -33.93% |         +0.03%
   0m03.30s |   743656 ko | Specific/solinas32_2e448m2e224m1_18limbs/fecarryDisplay.log                |      0m04.74s |   743504 ko ||      -0m01.44s ||       152 ko |  -30.37% |         +0.02%
   0m03.29s |   730932 ko | Specific/montgomery64_2e383m31_6limbs/feaddDisplay.log                     |      0m04.97s |   731168 ko ||      -0m01.67s ||      -236 ko |  -33.80% |         -0.03%
   0m03.29s |   731732 ko | Specific/montgomery64_2e416m2e208m1_7limbs/feoppDisplay.log                |      0m04.58s |   731344 ko ||      -0m01.29s ||       388 ko |  -28.16% |         +0.05%
   0m03.29s |   743468 ko | Specific/solinas32_2e480m2e240m1_18limbs/fecarryDisplay.log                |      0m04.88s |   743476 ko ||      -0m01.58s ||        -8 ko |  -32.58% |         -0.00%
   0m03.27s |   733136 ko | Specific/montgomery64_2e129m25_3limbs/femulDisplay.log                     |      0m04.63s |   732192 ko ||      -0m01.35s ||       944 ko |  -29.37% |         +0.12%
   0m03.27s |   731856 ko | Specific/montgomery64_2e448m2e224m1_7limbs/feoppDisplay.log                |      0m04.56s |   731260 ko ||      -0m01.28s ||       596 ko |  -28.28% |         +0.08%
   0m03.27s |   743644 ko | Specific/solinas32_2e450m2e225m1_18limbs/fecarryDisplay.log                |      0m04.73s |   743608 ko ||      -0m01.46s ||        36 ko |  -30.86% |         +0.00%
   0m03.27s |   743536 ko | Specific/solinas32_2e495m31_21limbs/fecarryDisplay.log                     |      0m04.71s |   743468 ko ||      -0m01.43s ||        68 ko |  -30.57% |         +0.00%
   0m03.26s |   731344 ko | Specific/montgomery64_2e401m31_7limbs/feoppDisplay.log                     |      0m04.54s |   730624 ko ||      -0m01.28s ||       720 ko |  -28.19% |         +0.09%
   0m03.26s |   731260 ko | Specific/montgomery64_2e413m21_7limbs/feoppDisplay.log                     |      0m04.67s |   730644 ko ||      -0m01.41s ||       616 ko |  -30.19% |         +0.08%
   0m03.26s |   731380 ko | Specific/montgomery64_2e414m17_7limbs/feoppDisplay.log                     |      0m04.45s |   730624 ko ||      -0m01.19s ||       756 ko |  -26.74% |         +0.10%
   0m03.25s |   730748 ko | Specific/solinas64_2e192m2e64m1_5limbs/fesquareDisplay.log                 |      0m04.79s |   730876 ko ||      -0m01.54s ||      -128 ko |  -32.15% |         -0.01%
   0m03.24s |   733256 ko | Specific/montgomery64_2e191m19_3limbs/femulDisplay.log                     |      0m04.86s |   732708 ko ||      -0m01.62s ||       548 ko |  -33.33% |         +0.07%
   0m03.23s |   733356 ko | Specific/montgomery64_2e152m17_3limbs/femulDisplay.log                     |      0m04.83s |   732948 ko ||      -0m01.60s ||       408 ko |  -33.12% |         +0.05%
   0m03.23s |   743228 ko | Specific/solinas32_2e416m2e208m1_18limbs/fecarryDisplay.log                |      0m04.71s |   743244 ko ||      -0m01.48s ||       -16 ko |  -31.42% |         -0.00%
   0m03.22s |   727188 ko | Specific/montgomery64_2e266m3_5limbs/feaddDisplay.log                      |      0m04.33s |   727092 ko ||      -0m01.10s ||        96 ko |  -25.63% |         +0.01%
   0m03.22s |   731412 ko | Specific/solinas32_2e171m19_7limbs/fesquareDisplay.log                     |      0m05.10s |   730896 ko ||      -0m01.87s ||       516 ko |  -36.86% |         +0.07%
   0m03.21s |   742968 ko | Specific/solinas32_2e489m21_20limbs/fecarryDisplay.log                     |      0m04.72s |   742864 ko ||      -0m01.50s ||       104 ko |  -31.99% |         +0.01%
   0m03.21s |   742992 ko | Specific/solinas32_2e495m31_20limbs/fecarryDisplay.log                     |      0m04.68s |   742704 ko ||      -0m01.46s ||       288 ko |  -31.41% |         +0.03%
   0m03.21s |   743012 ko | Specific/solinas32_2e521m1_20limbs/fecarryDisplay.log                      |      0m04.66s |   742964 ko ||      -0m01.45s ||        48 ko |  -31.11% |         +0.00%
   0m03.21s |   730556 ko | Specific/solinas64_2e251m9_6limbs/femulDisplay.log                         |      0m04.58s |   730096 ko ||      -0m01.37s ||       460 ko |  -29.91% |         +0.06%
   0m03.21s |   732320 ko | Specific/solinas64_2e336m17_7limbs/femulDisplay.log                        |      0m04.69s |   732360 ko ||      -0m01.48s ||       -40 ko |  -31.55% |         -0.00%
   0m03.21s |   731064 ko | Specific/solinas64_2e338m15_6limbs/femulDisplay.log                        |      0m04.56s |   730828 ko ||      -0m01.34s ||       236 ko |  -29.60% |         +0.03%
   0m03.21s |   731720 ko | Specific/solinas64_2e413m21_7limbs/fesquareDisplay.log                     |      0m04.56s |   731476 ko ||      -0m01.34s ||       244 ko |  -29.60% |         +0.03%
   0m03.20s |   728132 ko | Specific/montgomery64_2e266m3_5limbs/fesubDisplay.log                      |      0m04.50s |   727904 ko ||      -0m01.29s ||       228 ko |  -28.88% |         +0.03%
   0m03.20s |   727600 ko | Specific/montgomery64_2e291m19_5limbs/fesubDisplay.log                     |      0m04.85s |   728016 ko ||      -0m01.64s ||      -416 ko |  -34.02% |         -0.05%
   0m03.20s |   742716 ko | Specific/solinas32_2e488m17_20limbs/fecarryDisplay.log                     |      0m04.54s |   742820 ko ||      -0m01.33s ||      -104 ko |  -29.51% |         -0.01%
   0m03.19s |   737016 ko | Specific/montgomery32_2e266m3_9limbs/feaddDisplay.log                      |      0m04.75s |   737416 ko ||      -0m01.56s ||      -400 ko |  -32.84% |         -0.05%
   0m03.17s |   730244 ko | Specific/solinas64_2e266m3_6limbs/femulDisplay.log                         |      0m04.62s |   729728 ko ||      -0m01.45s ||       516 ko |  -31.38% |         +0.07%
   0m03.16s |   734352 ko | Specific/montgomery32_2e251m9_8limbs/feaddDisplay.log                      |      0m04.32s |   734140 ko ||      -0m01.16s ||       212 ko |  -26.85% |         +0.02%
   0m03.15s |   734108 ko | Specific/montgomery32_2e226m5_8limbs/feaddDisplay.log                      |      0m04.51s |   733912 ko ||      -0m01.35s ||       196 ko |  -30.15% |         +0.02%
   0m03.15s |   727428 ko | Specific/montgomery64_2e285m9_5limbs/feaddDisplay.log                      |      0m04.45s |   727108 ko ||      -0m01.30s ||       320 ko |  -29.21% |         +0.04%
   0m03.15s |   740240 ko | Specific/solinas32_2e416m2e208m1_16limbs/fecarryDisplay.log                |      0m04.59s |   740044 ko ||      -0m01.43s ||       196 ko |  -31.37% |         +0.02%
   0m03.15s |   741196 ko | Specific/solinas32_2e468m17_19limbs/fecarryDisplay.log                     |      0m04.58s |   741232 ko ||      -0m01.43s ||       -36 ko |  -31.22% |         -0.00%
   0m03.15s |   741060 ko | Specific/solinas32_2e488m17_19limbs/fecarryDisplay.log                     |      0m04.58s |   741072 ko ||      -0m01.43s ||       -12 ko |  -31.22% |         -0.00%
   0m03.15s |   730104 ko | Specific/solinas64_2e291m19_6limbs/femulDisplay.log                        |      0m04.54s |   729952 ko ||      -0m01.39s ||       152 ko |  -30.61% |         +0.02%
   0m03.15s |   729816 ko | Specific/solinas64_2e321m9_6limbs/femulDisplay.log                         |      0m04.58s |   729920 ko ||      -0m01.43s ||      -104 ko |  -31.22% |         -0.01%
   0m03.14s |   733576 ko | Specific/montgomery32_2e226m5_8limbs/fesubDisplay.log                      |      0m04.49s |   733812 ko ||      -0m01.35s ||      -236 ko |  -30.06% |         -0.03%
   0m03.14s |   733884 ko | Specific/montgomery32_2e255m765_8limbs/feaddDisplay.log                    |      0m04.65s |   734076 ko ||      -0m01.51s ||      -192 ko |  -32.47% |         -0.02%
   0m03.14s |   734128 ko | Specific/montgomery32_2e256m2e224p2e192p2e96m1_8limbs/feaddDisplay.log     |      0m04.53s |   733752 ko ||      -0m01.39s ||       376 ko |  -30.68% |         +0.05%
   0m03.14s |   733680 ko | Specific/montgomery32_2e256m88x2e240m1_8limbs/feaddDisplay.log             |      0m04.41s |   734024 ko ||      -0m01.27s ||      -344 ko |  -28.79% |         -0.04%
   0m03.13s |   733564 ko | Specific/montgomery32_2e254m127x2e240m1_8limbs/feaddDisplay.log            |      0m04.51s |   733716 ko ||      -0m01.37s ||      -152 ko |  -30.59% |         -0.02%
   0m03.13s |   740000 ko | Specific/solinas32_2e448m2e224m1_16limbs/fecarryDisplay.log                |      0m04.52s |   740184 ko ||      -0m01.38s ||      -184 ko |  -30.75% |         -0.02%
   0m03.13s |   741168 ko | Specific/solinas32_2e521m1_19limbs/fecarryDisplay.log                      |      0m04.56s |   741240 ko ||      -0m01.42s ||       -72 ko |  -31.35% |         -0.00%
   0m03.12s |   728288 ko | Specific/NISTP256/AMD128/femulDisplay.log                                  |      0m04.70s |   727884 ko ||      -0m01.58s ||       404 ko |  -33.61% |         +0.05%
   0m03.12s |   734148 ko | Specific/montgomery32_2e256m4294968273_8limbs/feaddDisplay.log             |      0m04.59s |   733888 ko ||      -0m01.46s ||       260 ko |  -32.02% |         +0.03%
   0m03.12s |   727084 ko | Specific/montgomery64_2e291m19_5limbs/feaddDisplay.log                     |      0m04.49s |   727012 ko ||      -0m01.37s ||        72 ko |  -30.51% |         +0.00%
   0m03.12s |   730896 ko | Specific/solinas32_2e189m25_7limbs/femulDisplay.log                        |      0m04.58s |   730832 ko ||      -0m01.46s ||        64 ko |  -31.87% |         +0.00%
   0m03.11s |   731188 ko | Specific/montgomery64_2e444m17_7limbs/feoppDisplay.log                     |      0m04.53s |   730448 ko ||      -0m01.42s ||       740 ko |  -31.34% |         +0.10%
   0m03.11s |   728516 ko | Specific/solinas32_2e158m15_6limbs/femulDisplay.log                        |      0m04.54s |   728768 ko ||      -0m01.43s ||      -252 ko |  -31.49% |         -0.03%
   0m03.11s |   741436 ko | Specific/solinas32_2e489m21_19limbs/fecarryDisplay.log                     |      0m04.43s |   741456 ko ||      -0m01.31s ||       -20 ko |  -29.79% |         -0.00%
   0m03.11s |   743856 ko | Specific/solinas32_2e512m569_25limbs/fesubDisplay.log                      |      0m04.70s |   743900 ko ||      -0m01.59s ||       -44 ko |  -33.82% |         -0.00%
   0m03.11s |   730208 ko | Specific/solinas64_2e256m189_6limbs/femulDisplay.log                       |      0m04.59s |   730208 ko ||      -0m01.48s ||         0 ko |  -32.24% |         +0.00%
   0m03.11s |   731596 ko | Specific/solinas64_2e336m17_7limbs/fesquareDisplay.log                     |      0m04.52s |   731216 ko ||      -0m01.40s ||       380 ko |  -31.19% |         +0.05%
   0m03.10s |   734172 ko | Specific/montgomery32_2e256m2e32m977_8limbs/feaddDisplay.log               |      0m04.51s |   734408 ko ||      -0m01.40s ||      -236 ko |  -31.26% |         -0.03%
   0m03.10s |   731224 ko | Specific/montgomery64_2e389m21_7limbs/feoppDisplay.log                     |      0m04.47s |   730760 ko ||      -0m01.36s ||       464 ko |  -30.64% |         +0.06%
   0m03.10s |   728920 ko | Specific/solinas32_2e137m13_6limbs/fesquareDisplay.log                     |      0m04.51s |   728796 ko ||      -0m01.40s ||       124 ko |  -31.26% |         +0.01%
   0m03.10s |   731200 ko | Specific/solinas32_2e140m27_7limbs/femulDisplay.log                        |      0m04.62s |   730552 ko ||      -0m01.52s ||       648 ko |  -32.90% |         +0.08%
   0m03.10s |   729960 ko | Specific/solinas64_2e338m15_6limbs/fesquareDisplay.log                     |      0m04.45s |   729984 ko ||      -0m01.35s ||       -24 ko |  -30.33% |         -0.00%
   0m03.09s |   733852 ko | Specific/montgomery32_2e235m15_8limbs/feaddDisplay.log                     |      0m04.52s |   734076 ko ||      -0m01.42s ||      -224 ko |  -31.63% |         -0.03%
   0m03.09s |   728404 ko | Specific/solinas32_2e166m5_6limbs/femulDisplay.log                         |      0m04.54s |   728800 ko ||      -0m01.45s ||      -396 ko |  -31.93% |         -0.05%
   0m03.08s |   729136 ko | Specific/solinas32_2e140m27_6limbs/femulDisplay.log                        |      0m04.50s |   728876 ko ||      -0m01.41s ||       260 ko |  -31.55% |         +0.03%
   0m03.08s |   730452 ko | Specific/solinas64_2e243m9_6limbs/femulDisplay.log                         |      0m05.01s |   730416 ko ||      -0m01.92s ||        36 ko |  -38.52% |         +0.00%
   0m03.08s |   729532 ko | Specific/solinas64_2e251m9_6limbs/fesquareDisplay.log                      |      0m04.64s |   729296 ko ||      -0m01.55s ||       236 ko |  -33.62% |         +0.03%
   0m03.07s |   734148 ko | Specific/montgomery32_2e256m189_8limbs/feaddDisplay.log                    |      0m04.50s |   734204 ko ||      -0m01.43s ||       -56 ko |  -31.77% |         -0.00%
   0m03.07s |   730196 ko | Specific/solinas64_2e255m765_6limbs/femulDisplay.log                       |      0m04.62s |   730048 ko ||      -0m01.55s ||       148 ko |  -33.54% |         +0.02%
   0m03.06s |   727968 ko | Specific/montgomery64_2e285m9_5limbs/fesubDisplay.log                      |      0m04.65s |   727492 ko ||      -0m01.59s ||       476 ko |  -34.19% |         +0.06%
   0m03.06s |   728736 ko | Specific/montgomery64_2e379m19_6limbs/feoppDisplay.log                     |      0m04.31s |   728028 ko ||      -0m01.24s ||       708 ko |  -29.00% |         +0.09%
   0m03.06s |   729708 ko | Specific/solinas32_2e189m25_7limbs/fesquareDisplay.log                     |      0m04.57s |   729776 ko ||      -0m01.51s ||       -68 ko |  -33.04% |         -0.00%
   0m03.05s |   734028 ko | Specific/montgomery32_2e243m9_8limbs/feaddDisplay.log                      |      0m04.48s |   734124 ko ||      -0m01.43s ||       -96 ko |  -31.91% |         -0.01%
   0m03.05s |   728548 ko | Specific/montgomery64_2e369m25_6limbs/feoppDisplay.log                     |      0m04.35s |   727996 ko ||      -0m01.29s ||       552 ko |  -29.88% |         +0.07%
   0m03.05s |   728652 ko | Specific/montgomery64_2e383m187_6limbs/feoppDisplay.log                    |      0m04.33s |   728200 ko ||      -0m01.28s ||       452 ko |  -29.56% |         +0.06%
   0m03.05s |   729176 ko | Specific/solinas32_2e130m5_6limbs/femulDisplay.log                         |      0m04.80s |   728892 ko ||      -0m01.75s ||       284 ko |  -36.45% |         +0.03%
   0m03.05s |   729080 ko | Specific/solinas32_2e152m17_6limbs/femulDisplay.log                        |      0m04.49s |   728500 ko ||      -0m01.44s ||       580 ko |  -32.07% |         +0.07%
   0m03.04s |   739228 ko | Specific/solinas32_2e468m17_18limbs/fecarryDisplay.log                     |      0m04.44s |   739408 ko ||      -0m01.40s ||      -180 ko |  -31.53% |         -0.02%
   0m03.03s |   734176 ko | Specific/montgomery32_2e255m19_8limbs/feaddDisplay.log                     |      0m04.41s |   734152 ko ||      -0m01.38s ||        24 ko |  -31.29% |         +0.00%
   0m03.03s |   728592 ko | Specific/montgomery64_2e321m9_6limbs/feoppDisplay.log                      |      0m04.53s |   727708 ko ||      -0m01.50s ||       884 ko |  -33.11% |         +0.12%
   0m03.03s |   728228 ko | Specific/montgomery64_2e384m2e128m2e96p2e32m1_6limbs/feoppDisplay.log      |      0m04.34s |   727996 ko ||      -0m01.31s ||       232 ko |  -30.18% |         +0.03%
   0m03.03s |   728508 ko | Specific/montgomery64_2e384m5x2e368m1_6limbs/feoppDisplay.log              |      0m04.26s |   728200 ko ||      -0m01.23s ||       308 ko |  -28.87% |         +0.04%
   0m03.02s |   729068 ko | Specific/solinas32_2e158m15_6limbs/fesquareDisplay.log                     |      0m04.44s |   728904 ko ||      -0m01.42s ||       164 ko |  -31.98% |         +0.02%
   0m03.02s |   739636 ko | Specific/solinas32_2e384m317_18limbs/fecarryDisplay.log                    |      0m04.43s |   739368 ko ||      -0m01.40s ||       268 ko |  -31.82% |         +0.03%
   0m03.02s |   739416 ko | Specific/solinas32_2e444m17_18limbs/fecarryDisplay.log                     |      0m04.40s |   739472 ko ||      -0m01.38s ||       -56 ko |  -31.36% |         -0.00%
   0m03.01s |   730208 ko | Specific/montgomery32_2e196m15_7limbs/fesubDisplay.log                     |      0m04.21s |   730656 ko ||      -0m01.20s ||      -448 ko |  -28.50% |         -0.06%
   0m03.01s |   734148 ko | Specific/montgomery32_2e230m27_8limbs/feaddDisplay.log                     |      0m04.60s |   733988 ko ||      -0m01.58s ||       160 ko |  -34.56% |         +0.02%
   0m03.01s |   728352 ko | Specific/montgomery64_2e336m17_6limbs/feoppDisplay.log                     |      0m04.42s |   727704 ko ||      -0m01.41s ||       648 ko |  -31.90% |         +0.08%
   0m03.01s |   728640 ko | Specific/montgomery64_2e338m15_6limbs/feoppDisplay.log                     |      0m04.35s |   727684 ko ||      -0m01.33s ||       956 ko |  -30.80% |         +0.13%
   0m03.01s |   729660 ko | Specific/solinas32_2e140m27_7limbs/fesquareDisplay.log                     |      0m04.46s |   729732 ko ||      -0m01.45s ||       -72 ko |  -32.51% |         -0.00%
   0m03.01s |   741880 ko | Specific/solinas32_2e511m481_24limbs/fesubDisplay.log                      |      0m04.67s |   741740 ko ||      -0m01.66s ||       140 ko |  -35.54% |         +0.01%
   0m03.01s |   728872 ko | Specific/solinas64_2e291m19_6limbs/fesquareDisplay.log                     |      0m04.40s |   729052 ko ||      -0m01.39s ||      -180 ko |  -31.59% |         -0.02%
   0m03.00s |   728624 ko | Specific/montgomery64_2e336m3_6limbs/feoppDisplay.log                      |      0m04.28s |   727608 ko ||      -0m01.28s ||      1016 ko |  -29.90% |         +0.13%
   0m03.00s |   728400 ko | Specific/montgomery64_2e383m421_6limbs/feoppDisplay.log                    |      0m04.30s |   728024 ko ||      -0m01.29s ||       376 ko |  -30.23% |         +0.05%
   0m03.00s |   728540 ko | Specific/solinas32_2e166m5_6limbs/fesquareDisplay.log                      |      0m04.50s |   728288 ko ||      -0m01.50s ||       252 ko |  -33.33% |         +0.03%
   0m03.00s |   728860 ko | Specific/solinas64_2e255m19_6limbs/fesquareDisplay.log                     |      0m04.33s |   728832 ko ||      -0m01.33s ||        28 ko |  -30.71% |         +0.00%
   0m03.00s |   729500 ko | Specific/solinas64_2e256m189_6limbs/fesquareDisplay.log                    |      0m04.53s |   729172 ko ||      -0m01.53s ||       328 ko |  -33.77% |         +0.04%
   0m02.99s |   728732 ko | Specific/montgomery64_2e322m2e161m1_6limbs/feoppDisplay.log                |      0m04.26s |   728352 ko ||      -0m01.26s ||       380 ko |  -29.81% |         +0.05%
   0m02.99s |   728368 ko | Specific/montgomery64_2e383m31_6limbs/feoppDisplay.log                     |      0m04.26s |   727848 ko ||      -0m01.26s ||       520 ko |  -29.81% |         +0.07%
   0m02.99s |   728696 ko | Specific/montgomery64_2e384m317_6limbs/feoppDisplay.log                    |      0m04.33s |   727884 ko ||      -0m01.33s ||       812 ko |  -30.94% |         +0.11%
   0m02.99s |   728516 ko | Specific/solinas32_2e152m17_6limbs/fesquareDisplay.log                     |      0m04.52s |   728372 ko ||      -0m01.52s ||       144 ko |  -33.84% |         +0.01%
   0m02.98s |   728488 ko | Specific/solinas32_2e127m1_6limbs/femulDisplay.log                         |      0m04.45s |   728484 ko ||      -0m01.47s ||         4 ko |  -33.03% |         +0.00%
   0m02.98s |   728984 ko | Specific/solinas64_2e285m9_6limbs/fesquareDisplay.log                      |      0m04.56s |   728700 ko ||      -0m01.57s ||       284 ko |  -34.64% |         +0.03%
   0m02.97s |   730404 ko | Specific/montgomery32_2e212m29_7limbs/fesubDisplay.log                     |      0m04.15s |   730612 ko ||      -0m01.18s ||      -208 ko |  -28.43% |         -0.02%
   0m02.97s |   737964 ko | Specific/solinas32_2e413m21_17limbs/fecarryDisplay.log                     |      0m04.21s |   737668 ko ||      -0m01.23s ||       296 ko |  -29.45% |         +0.04%
   0m02.96s |   730348 ko | Specific/montgomery32_2e194m33_7limbs/feaddDisplay.log                     |      0m04.18s |   730748 ko ||      -0m01.21s ||      -400 ko |  -29.18% |         -0.05%
   0m02.96s |   730172 ko | Specific/montgomery32_2e206m5_7limbs/fesubDisplay.log                      |      0m04.23s |   730828 ko ||      -0m01.27s ||      -656 ko |  -30.02% |         -0.08%
   0m02.96s |   730480 ko | Specific/montgomery32_2e213m3_7limbs/feaddDisplay.log                      |      0m04.25s |   730772 ko ||      -0m01.29s ||      -292 ko |  -30.35% |         -0.03%
   0m02.96s |   730584 ko | Specific/montgomery32_2e222m117_7limbs/fesubDisplay.log                    |      0m04.27s |   730832 ko ||      -0m01.30s ||      -248 ko |  -30.67% |         -0.03%
   0m02.96s |   728424 ko | Specific/montgomery64_2e384m79x2e376m1_6limbs/feoppDisplay.log             |      0m04.33s |   728040 ko ||      -0m01.37s ||       384 ko |  -31.63% |         +0.05%
   0m02.96s |   728156 ko | Specific/solinas32_2e130m5_6limbs/fesquareDisplay.log                      |      0m04.37s |   728844 ko ||      -0m01.41s ||      -688 ko |  -32.26% |         -0.09%
   0m02.96s |   741196 ko | Specific/solinas32_2e511m481_23limbs/fesubDisplay.log                      |      0m04.09s |   741132 ko ||      -0m01.12s ||        64 ko |  -27.62% |         +0.00%
   0m02.96s |   728644 ko | Specific/solinas64_2e321m9_6limbs/fesquareDisplay.log                      |      0m04.52s |   728792 ko ||      -0m01.55s ||      -148 ko |  -34.51% |         -0.02%
   0m02.95s |   730172 ko | Specific/montgomery32_2e221m3_7limbs/fesubDisplay.log                      |      0m04.25s |   730764 ko ||      -0m01.29s ||      -592 ko |  -30.58% |         -0.08%
   0m02.95s |   738040 ko | Specific/solinas32_2e452m3_17limbs/fecarryDisplay.log                      |      0m04.64s |   737772 ko ||      -0m01.68s ||       268 ko |  -36.42% |         +0.03%
   0m02.95s |   728732 ko | Specific/solinas64_2e243m9_6limbs/fesquareDisplay.log                      |      0m04.40s |   728912 ko ||      -0m01.45s ||      -180 ko |  -32.95% |         -0.02%
   0m02.94s |   730096 ko | Specific/montgomery32_2e194m33_7limbs/fesubDisplay.log                     |      0m04.22s |   730592 ko ||      -0m01.27s ||      -496 ko |  -30.33% |         -0.06%
   0m02.94s |   730476 ko | Specific/montgomery32_2e198m17_7limbs/fesubDisplay.log                     |      0m04.20s |   730856 ko ||      -0m01.26s ||      -380 ko |  -30.00% |         -0.05%
   0m02.94s |   730672 ko | Specific/montgomery32_2e216m2e108m1_7limbs/fesubDisplay.log                |      0m04.17s |   731316 ko ||      -0m01.23s ||      -644 ko |  -29.49% |         -0.08%
   0m02.94s |   730784 ko | Specific/montgomery32_2e221m3_7limbs/feaddDisplay.log                      |      0m04.32s |   730880 ko ||      -0m01.38s ||       -96 ko |  -31.94% |         -0.01%
   0m02.94s |   730600 ko | Specific/montgomery32_2e224m2e96p1_7limbs/feaddDisplay.log                 |      0m04.20s |   730620 ko ||      -0m01.26s ||       -20 ko |  -30.00% |         -0.00%
   0m02.94s |   725712 ko | Specific/montgomery64_2e196m15_4limbs/fesubDisplay.log                     |      0m04.38s |   724904 ko ||      -0m01.43s ||       808 ko |  -32.87% |         +0.11%
   0m02.94s |   728648 ko | Specific/montgomery64_2e382m105_6limbs/feoppDisplay.log                    |      0m04.30s |   727780 ko ||      -0m01.35s ||       868 ko |  -31.62% |         +0.11%
   0m02.94s |   729008 ko | Specific/solinas32_2e141m9_6limbs/femulDisplay.log                         |      0m04.38s |   728724 ko ||      -0m01.43s ||       284 ko |  -32.87% |         +0.03%
   0m02.94s |   737632 ko | Specific/solinas32_2e383m187_17limbs/fecarryDisplay.log                    |      0m04.04s |   737716 ko ||      -0m01.10s ||       -84 ko |  -27.22% |         -0.01%
   0m02.94s |   741264 ko | Specific/solinas32_2e511m187_23limbs/fesubDisplay.log                      |      0m04.37s |   741124 ko ||      -0m01.43s ||       140 ko |  -32.72% |         +0.01%
   0m02.93s |   730532 ko | Specific/montgomery32_2e205m45x2e198m1_7limbs/feaddDisplay.log             |      0m04.28s |   730732 ko ||      -0m01.35s ||      -200 ko |  -31.54% |         -0.02%
   0m02.93s |   736004 ko | Specific/solinas32_2e322m2e161m1_14limbs/fecarryDisplay.log                |      0m04.30s |   735892 ko ||      -0m01.36s ||       112 ko |  -31.86% |         +0.01%
   0m02.93s |   737512 ko | Specific/solinas32_2e383m421_17limbs/fecarryDisplay.log                    |      0m04.24s |   737524 ko ||      -0m01.31s ||       -12 ko |  -30.89% |         -0.00%
   0m02.93s |   738092 ko | Specific/solinas32_2e444m17_17limbs/fecarryDisplay.log                     |      0m04.37s |   737844 ko ||      -0m01.43s ||       248 ko |  -32.95% |         +0.03%
   0m02.92s |   730660 ko | Specific/montgomery32_2e196m15_7limbs/feaddDisplay.log                     |      0m04.29s |   730828 ko ||      -0m01.37s ||      -168 ko |  -31.93% |         -0.02%
   0m02.92s |   730888 ko | Specific/montgomery32_2e212m29_7limbs/feaddDisplay.log                     |      0m04.30s |   730964 ko ||      -0m01.37s ||       -76 ko |  -32.09% |         -0.01%
   0m02.92s |   731192 ko | Specific/montgomery32_2e216m2e108m1_7limbs/feaddDisplay.log                |      0m04.31s |   731340 ko ||      -0m01.38s ||      -148 ko |  -32.25% |         -0.02%
