prime,"UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
170141183460469231731687303715884105727,0.845,0.033,0.026762,0.162,0.383,0.012,0.012674,0.082,4.746,0.19,0.088463,0.939,0.522,0.023,0.019355,0.105
680564733841876926926749214863536422887,0.85,0.034,0.024912,0.179,0.358,0.012,0.010282,0.071,12.3,0.598,0.214810,2.127,3.312,0.139,0.040220,0.428
1361129467683753853853498429727072845819,0.862,0.033,0.019042,0.182,0.393,0.012,0.011426,0.074,11.949,0.605,0.223690,2.155,3.24,0.138,0.041017,0.44
174224571863520493293247799005065324265459,1.401,0.055,0.025786,0.271,0.387,0.013,0.007498,0.078,12.457,0.598,0.226458,2.112,3.235,0.137,0.041168,0.462
1393796574908163946345982392040522594123749,1.471,0.057,0.024220,0.274,0.4,0.014,0.006821,0.071,11.934,0.608,0.211079,2.164,3.272,0.138,0.040161,0.436
2787593149816327892691964784081045188247543,1.406,0.058,0.023581,0.28,0.391,0.014,0.011475,0.08,11.958,0.608,0.214536,2.166,3.088,0.137,0.040299,0.439
1427247692705959881058285969449495136382746619,1.594,0.064,0.030299,0.284,0.417,0.015,0.007721,0.072,12.578,0.604,0.201472,2.104,3.228,0.138,0.037616,0.428
1427247692705959881058285969449495136382746621,1.584,0.063,0.022245,0.284,0.416,0.015,0.008163,0.072,11.889,0.595,0.200006,2.156,3.096,0.138,0.040092,0.413
5708990770823839524233143877797980545530986479,1.76,0.066,0.024623,0.293,0.438,0.016,0.007789,0.085,11.867,0.609,0.220500,2.164,3.246,0.137,0.037790,0.439
365375409332725729550921208179070754913983135729,1.735,0.07,0.023565,0.277,0.474,0.017,0.012525,0.086,11.904,0.597,0.200417,2.161,3.256,0.138,0.043355,0.434
