prime,user,real,kind,bitwidth,descr1,descr2,index,nlimbs,prime_str
170141183460469231731687303715884105727,0.323,0.685,UnsaturatedSolinas,32,PipelineFullOf,native_compute (2),(1),6,2^127-1
170141183460469231731687303715884105727,0.676,5.711,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (1),(1),6,2^127-1
170141183460469231731687303715884105727,0.291,0.423,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (2),(1),6,2^127-1
170141183460469231731687303715884105727,0.311,0.674,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (1),(1),6,2^127-1
170141183460469231731687303715884105727,0.323,0.488,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (2),(1),6,2^127-1
170141183460469231731687303715884105727,0.295,0.662,UnsaturatedSolinas,32,PipelineArithOf,native_compute (1),(1),6,2^127-1
170141183460469231731687303715884105727,0.288,0.457,UnsaturatedSolinas,32,PipelineArithOf,native_compute (2),(1),6,2^127-1
170141183460469231731687303715884105727,7.516,7.551,UnsaturatedSolinas,32,PipelineFullOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,9.288,9.314,UnsaturatedSolinas,32,PipelineFullToStringsOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,6.499,6.559,UnsaturatedSolinas,32,PipelineNBEOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,5.652,5.665,UnsaturatedSolinas,32,PipelineArithOf,cbv,(1),6,2^127-1
170141183460469231731687303715884105727,6.091,6.137,UnsaturatedSolinas,32,PipelineFullOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,7.892,7.891,UnsaturatedSolinas,32,PipelineFullToStringsOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,4.543,4.546,UnsaturatedSolinas,32,PipelineNBEOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,4.512,4.513,UnsaturatedSolinas,32,PipelineArithOf,lazy,(1),6,2^127-1
170141183460469231731687303715884105727,1.208,1.215,UnsaturatedSolinas,32,GallinaDefOf,cbv_no_rt,(1),6,2^127-1
170141183460469231731687303715884105727,1.764,1.764,UnsaturatedSolinas,32,GallinaDefOf,lazy_no_rt,(1),6,2^127-1
170141183460469231731687303715884105727,0.188,0.187,WordByWordMontgomery,32,GallinaAxOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.136,0.702,WordByWordMontgomery,32,GallinaAxOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.083,0.169,WordByWordMontgomery,32,GallinaAxOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,4.008,4.033,WordByWordMontgomery,32,GallinaAxOf,cbv,,,2^127-1
170141183460469231731687303715884105727,6.008,6.026,WordByWordMontgomery,32,GallinaAxOf,lazy,,,2^127-1
170141183460469231731687303715884105727,216.568,217.432,WordByWordMontgomery,32,GallinaAxComputedOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,4763.492,4777.264,WordByWordMontgomery,32,GallinaAxComputedOf,cbv,,,2^127-1
170141183460469231731687303715884105727,6.659,6.68,WordByWordMontgomery,32,GallinaAxComputedOf,lazy,,,2^127-1
170141183460469231731687303715884105727,1.628,1.631,WordByWordMontgomery,32,PipelineFullOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,1.599,1.606,WordByWordMontgomery,32,PipelineFullToStringsOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,1.163,1.168,WordByWordMontgomery,32,PipelineNBEOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,1.187,1.203,WordByWordMontgomery,32,PipelineArithOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,6.504,216.36,WordByWordMontgomery,32,PipelineFullOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,1.176,1.438,WordByWordMontgomery,32,PipelineFullOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,1.515,6.265,WordByWordMontgomery,32,PipelineFullToStringsOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,1.208,1.368,WordByWordMontgomery,32,PipelineFullToStringsOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,0.984,1.443,WordByWordMontgomery,32,PipelineNBEOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.931,1.057,WordByWordMontgomery,32,PipelineNBEOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,1.,1.885,WordByWordMontgomery,32,PipelineArithOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,1.032,1.176,WordByWordMontgomery,32,PipelineArithOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,27.364,27.451,WordByWordMontgomery,32,PipelineFullOf,cbv,,,2^127-1
170141183460469231731687303715884105727,28.028,28.033,WordByWordMontgomery,32,PipelineFullToStringsOf,cbv,,,2^127-1
170141183460469231731687303715884105727,28.536,28.806,WordByWordMontgomery,32,PipelineNBEOf,cbv,,,2^127-1
170141183460469231731687303715884105727,19.639,19.757,WordByWordMontgomery,32,PipelineArithOf,cbv,,,2^127-1
170141183460469231731687303715884105727,24.412,24.578,WordByWordMontgomery,32,PipelineFullOf,lazy,,,2^127-1
170141183460469231731687303715884105727,23.948,23.945,WordByWordMontgomery,32,PipelineFullToStringsOf,lazy,,,2^127-1
170141183460469231731687303715884105727,15.947,15.947,WordByWordMontgomery,32,PipelineNBEOf,lazy,,,2^127-1
170141183460469231731687303715884105727,16.796,16.795,WordByWordMontgomery,32,PipelineArithOf,lazy,,,2^127-1
170141183460469231731687303715884105727,4.012,4.015,WordByWordMontgomery,32,GallinaDefOf,cbv_no_rt,,,2^127-1
170141183460469231731687303715884105727,6.012,6.017,WordByWordMontgomery,32,GallinaDefOf,lazy_no_rt,,,2^127-1
170141183460469231731687303715884105727,0.012,0.012,UnsaturatedSolinas,64,GallinaAxOf,vm_compute,(0),3,2^127-1
170141183460469231731687303715884105727,0.008,0.234,UnsaturatedSolinas,64,GallinaAxOf,native_compute (1),(0),3,2^127-1
170141183460469231731687303715884105727,0.,0.074,UnsaturatedSolinas,64,GallinaAxOf,native_compute (2),(0),3,2^127-1
170141183460469231731687303715884105727,0.315,0.353,UnsaturatedSolinas,64,GallinaAxOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,0.428,0.428,UnsaturatedSolinas,64,GallinaAxOf,lazy,(0),3,2^127-1
170141183460469231731687303715884105727,0.112,0.162,UnsaturatedSolinas,64,GallinaAxComputedOf,vm_compute,(0),3,2^127-1
170141183460469231731687303715884105727,0.508,0.513,UnsaturatedSolinas,64,GallinaAxComputedOf,cbv,(0),3,2^127-1
170141183460469231731687303715884105727,0.715,0.726,UnsaturatedSolinas,64,GallinaAxComputedOf,lazy,(0),3,2^127-1
170141183460469231731687303715884105727,0.14,0.145,UnsaturatedSolinas,64,PipelineFullOf,vm_compute,(0),3,2^127-1
