src/Util/Logic/ImplAnd.vo (real: 0.12, user: 0.04, sys: 0.07, mem: 83224 ko)
src/Util/ListUtil/FoldBool.vo (real: 0.33, user: 0.16, sys: 0.15, mem: 318000 ko)
src/Util/Tactics/EvarExists.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 75908 ko)
src/Util/Tactics/PrintContext.vo (real: 0.11, user: 0.06, sys: 0.04, mem: 75952 ko)
src/Util/Tactics/ClearAll.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 75880 ko)
src/Util/ZUtil/Z2Nat.vo (real: 0.50, user: 0.33, sys: 0.16, mem: 413008 ko)
src/Util/Tactics/ClearbodyAll.vo (real: 0.11, user: 0.06, sys: 0.04, mem: 75716 ko)
src/Util/ZUtil/N2Z.vo (real: 0.55, user: 0.39, sys: 0.16, mem: 424464 ko)
src/Util/DefaultedTypes.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 75960 ko)
src/Util/Tactics/UnfoldArg.vo (real: 0.11, user: 0.05, sys: 0.06, mem: 76268 ko)
src/Util/Tactics/UnifyAbstractReflexivity.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 77212 ko)
src/Util/Tactics/SetoidSubst.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 77476 ko)
src/Util/Bool/Equality.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 86528 ko)
src/Util/PER.vo (real: 0.12, user: 0.06, sys: 0.06, mem: 87456 ko)
src/Util/Bool/Reflect.vo (real: 0.14, user: 0.06, sys: 0.07, mem: 102868 ko)
src/Util/Tactics/HasBody.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 75900 ko)
src/Util/Tactics/CPSId.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 78156 ko)
src/Util/Tactics/NormalizeCommutativeIdentifier.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 76344 ko)
src/Util/Sigma/Related.vo (real: 0.17, user: 0.09, sys: 0.07, mem: 131076 ko)
src/Util/Strings/HexString.vo (real: 0.50, user: 0.36, sys: 0.14, mem: 406304 ko)
src/Util/ZUtil/Sorting.vo (real: 0.47, user: 0.32, sys: 0.14, mem: 368268 ko)
src/LegacyArithmetic/VerdiTactics.vo (real: 0.13, user: 0.07, sys: 0.06, mem: 88572 ko)
src/Util/Tactics/SimplifyProjections.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 77164 ko)
src/Util/Loops.vo (real: 0.73, user: 0.54, sys: 0.18, mem: 412264 ko)
src/Util/Sigma/Lift.vo (real: 0.13, user: 0.06, sys: 0.06, mem: 95916 ko)
src/Util/Tactics/PoseTermWithName.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 76240 ko)
src/Util/ZUtil/ModInv.vo (real: 0.38, user: 0.28, sys: 0.10, mem: 318008 ko)
src/Util/ChangeInAll.vo (real: 0.11, user: 0.08, sys: 0.03, mem: 76152 ko)
src/Util/Pos.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 77880 ko)
src/Util/Tactics/ClearDuplicates.vo (real: 0.11, user: 0.07, sys: 0.03, mem: 76036 ko)
src/Util/Tactics/ConvoyDestruct.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 76684 ko)
src/Util/Sumbool.vo (real: 0.14, user: 0.08, sys: 0.05, mem: 100596 ko)
src/Util/Strings/OctalString.vo (real: 0.39, user: 0.24, sys: 0.15, mem: 364996 ko)
src/Util/Strings/BinaryString.vo (real: 0.36, user: 0.20, sys: 0.16, mem: 306156 ko)
src/Util/Tactics/DestructTrivial.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 76184 ko)
src/Util/Tactics/ESpecialize.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 75728 ko)
src/Util/Tactics/ETransitivity.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 81364 ko)
src/Util/Tactics/Forward.vo (real: 0.11, user: 0.05, sys: 0.05, mem: 76528 ko)
src/Util/Tactics/SideConditionsBeforeToAfter.vo (real: 0.11, user: 0.07, sys: 0.04, mem: 76208 ko)
src/Util/Unit.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 84556 ko)
src/Util/Bool/IsTrue.vo (real: 0.11, user: 0.05, sys: 0.06, mem: 77972 ko)
src/Util/SideConditions/AdmitPackage.vo (real: 0.11, user: 0.05, sys: 0.06, mem: 76816 ko)
src/Util/ZUtil/Ge.vo (real: 0.38, user: 0.27, sys: 0.10, mem: 324844 ko)
src/Util/ZUtil/DistrIf.vo (real: 0.52, user: 0.35, sys: 0.17, mem: 404208 ko)
src/Util/ZUtil/Mul.vo (real: 0.46, user: 0.29, sys: 0.16, mem: 355172 ko)
bbv/src/bbv/BinNotationZ.vo (real: 0.35, user: 0.23, sys: 0.12, mem: 287140 ko)
src/Util/ZUtil/Sgn.vo (real: 0.53, user: 0.39, sys: 0.13, mem: 409220 ko)
src/Util/FixCoqMistakes.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 89836 ko)
src/Util/Equality.vo (real: 0.17, user: 0.09, sys: 0.08, mem: 141940 ko)
src/Util/Tactics/Not.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 75996 ko)
bbv/src/bbv/HexNotationZ.vo (real: 0.35, user: 0.23, sys: 0.12, mem: 286680 ko)
bbv/src/bbv/ZHints.vo (real: 0.46, user: 0.31, sys: 0.14, mem: 354384 ko)
src/Util/ZUtil/Div/Bootstrap.vo (real: 0.53, user: 0.37, sys: 0.15, mem: 388828 ko)
src/Util/ZUtil/Tactics/LtbToLt.vo (real: 0.45, user: 0.29, sys: 0.16, mem: 385660 ko)
src/Util/ZUtil/Modulo/Bootstrap.vo (real: 0.53, user: 0.36, sys: 0.17, mem: 401760 ko)
src/Util/ZUtil/Hints/ZArith.vo (real: 0.52, user: 0.36, sys: 0.15, mem: 389796 ko)
bbv/src/bbv/NatLib.vo (real: 1.33, user: 1.14, sys: 0.17, mem: 469544 ko)
src/Util/ZUtil/Hints/Ztestbit.vo (real: 0.52, user: 0.37, sys: 0.14, mem: 387752 ko)
src/Util/ZUtil/Hints/PullPush.vo (real: 0.53, user: 0.36, sys: 0.17, mem: 397716 ko)
src/Util/ZUtil/ZSimplify/Core.vo (real: 0.51, user: 0.33, sys: 0.18, mem: 394524 ko)
src/Util/Logic.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 99688 ko)
src/Util/ZUtil/Pow.vo (real: 0.56, user: 0.38, sys: 0.17, mem: 422580 ko)
src/Util/Tactics/SplitInContext.vo (real: 0.13, user: 0.04, sys: 0.07, mem: 84352 ko)
src/Util/ZUtil/Tactics/LinearSubstitute.vo (real: 0.41, user: 0.27, sys: 0.14, mem: 350148 ko)
src/Util/Tactics/CacheTerm.vo (real: 0.11, user: 0.06, sys: 0.05, mem: 78640 ko)
src/Util/ZUtil/ZSimplify/Simple.vo (real: 0.61, user: 0.40, sys: 0.21, mem: 457440 ko)
src/Util/ZUtil/Tactics/PeelLe.vo (real: 0.52, user: 0.36, sys: 0.16, mem: 388572 ko)
src/Util/Curry.vo (real: 0.12, user: 0.06, sys: 0.06, mem: 79700 ko)
src/Util/Tactics/RunTacticAsConstr.vo (real: 0.12, user: 0.07, sys: 0.04, mem: 83356 ko)
src/Util/Logic/ProdForall.vo (real: 0.12, user: 0.06, sys: 0.06, mem: 96688 ko)
src/Util/ZUtil/Opp.vo (real: 0.53, user: 0.37, sys: 0.15, mem: 393112 ko)
src/Util/Tower.vo (real: 0.13, user: 0.07, sys: 0.05, mem: 96820 ko)
src/Util/Tactics/HeadUnderBinders.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 83680 ko)
src/Util/PrimitiveProd.vo (real: 0.23, user: 0.11, sys: 0.11, mem: 210088 ko)
src/Util/Tactics/UniquePose.vo (real: 0.12, user: 0.05, sys: 0.06, mem: 83776 ko)
src/Util/Tactics/Head.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 83188 ko)
src/Util/Tactics/DestructHyps.vo (real: 0.12, user: 0.07, sys: 0.05, mem: 84960 ko)
src/Util/Sigma.vo (real: 0.21, user: 0.14, sys: 0.07, mem: 179440 ko)
src/Util/Notations.vo (real: 0.13, user: 0.09, sys: 0.04, mem: 94424 ko)
src/Util/Tactics/SpecializeBy.vo (real: 0.12, user: 0.07, sys: 0.05, mem: 84144 ko)
src/Util/Tactics/DoWithHyp.vo (real: 0.12, user: 0.04, sys: 0.08, mem: 83680 ko)
src/Util/Prod.vo (real: 0.22, user: 0.11, sys: 0.10, mem: 204988 ko)
src/Util/ZUtil/Notations.vo (real: 0.28, user: 0.16, sys: 0.11, mem: 241740 ko)
src/Util/ZUtil/Tactics/DivModToQuotRem.vo (real: 0.53, user: 0.39, sys: 0.14, mem: 389524 ko)
src/Util/ZUtil/Hints.vo (real: 0.53, user: 0.37, sys: 0.15, mem: 392652 ko)
src/Util/Relations.vo (real: 0.22, user: 0.13, sys: 0.08, mem: 202292 ko)
src/Util/ZUtil/Le.vo (real: 0.71, user: 0.48, sys: 0.21, mem: 482944 ko)
src/Util/PointedProp.vo (real: 0.36, user: 0.22, sys: 0.13, mem: 311804 ko)
src/Util/Tactics/SpecializeAllWays.vo (real: 0.12, user: 0.06, sys: 0.05, mem: 83276 ko)
src/Util/ZUtil/Modulo/PullPush.vo (real: 0.98, user: 0.79, sys: 0.19, mem: 485456 ko)
